Stadt1	Stadt2	Abstand
Charleroi	Karlsruhe	323.45
Charleroi	Kassel	374.73
Charleroi	Köln	189.22
Charleroi	Krefeld	182.92
Charleroi	Mainz	277.82
Charleroi	Mannheim	305.46
Charleroi	Mönchengladbach	166.94
Charleroi	Münster (Westf.)	285.73
Charleroi	Nürnberg	486.15
Charleroi	Oberhausen	208.55
Charleroi	Stuttgart	384.37
Charleroi	Wiesbaden	274.03
Charleroi	Wuppertal	217.29
Charleroi	AMSTERDAM	220.59
Charleroi	Eindhoven	135.97
Charleroi	Groningen	347.39
Charleroi	Rotterdam	168.16
Charleroi	s-Gravenhage	185.50
Charleroi	Tilburg	135.54
Charleroi	Utrecht	193.27
Charleroi	Bâle	389.15
Charleroi	BERNE	441.45
Charleroi	Genève	484.17
Charleroi	Lausanne	460.40
Charleroi	Luzern	464.99
Charleroi	Zürich	447.59
Charleroi	Brighton and Hove	331.95
Charleroi	Coventry	480.20
Charleroi	Leicester	469.33
Charleroi	LONDON	348.84
Charleroi	Luton	383.84
Charleroi	Northampton	432.54
Charleroi	Nottingham	489.84
Charleroi	Portsmouth	397.03
Charleroi	Reading	404.13
Charleroi	Southampton	421.67
Gent (Gand)	Liège (Luik)	140.59
Gent (Gand)	Dijon	430.71
Gent (Gand)	Le Havre	315.20
Gent (Gand)	Le Mans	427.34
Gent (Gand)	Lille	70.65
Gent (Gand)	Metz	280.97
Gent (Gand)	Mulhouse	453.36
Gent (Gand)	Nancy	319.79
Gent (Gand)	Orléans	379.15
Gent (Gand)	PARIS	268.66
Gent (Gand)	Reims	206.09
Gent (Gand)	Rouen	264.35
Gent (Gand)	Strasbourg	400.81
Gent (Gand)	Tours	466.96
Gent (Gand)	Aachen	171.48
Gent (Gand)	Bielefeld	357.58
Gent (Gand)	Bochum	252.47
Gent (Gand)	Bonn	243.75
Gent (Gand)	Bremen	423.89
Gent (Gand)	Dortmund	270.39
Gent (Gand)	Duisburg	219.17
Gent (Gand)	Düsseldorf	217.62
Gent (Gand)	Essen	237.66
Gent (Gand)	Frankfurt am Main	370.18
Gent (Gand)	Freiburg im Breisgau	453.55
Gent (Gand)	Gelsenkirchen	244.35
Gent (Gand)	Hannover	451.82
Gent (Gand)	Karlsruhe	406.81
Gent (Gand)	Kassel	412.07
Gent (Gand)	Köln	231.00
Gent (Gand)	Krefeld	203.53
Gent (Gand)	Mainz	346.69
Gent (Gand)	Mannheim	382.64
Gent (Gand)	Mönchengladbach	193.08
Gent (Gand)	Münster (Westf.)	294.48
Gent (Gand)	Oberhausen	226.31
Gent (Gand)	Stuttgart	467.02
Gent (Gand)	Wiesbaden	341.29
Gent (Gand)	Wuppertal	246.57
Gent (Gand)	AMSTERDAM	163.97
Gent (Gand)	Eindhoven	128.35
Gent (Gand)	Groningen	310.72
Gent (Gand)	Rotterdam	105.22
Gent (Gand)	s-Gravenhage	114.97
Gent (Gand)	Tilburg	108.81
Gent (Gand)	Utrecht	147.89
Gent (Gand)	Bâle	480.75
Gent (Gand)	Birmingham	431.63
Gent (Gand)	Bradford	494.04
Gent (Gand)	Brighton and Hove	279.49
Gent (Gand)	Bristol	454.76
Gent (Gand)	Cardiff	496.47
Gent (Gand)	Coventry	402.59
Gent (Gand)	Derby	424.43
Gent (Gand)	Kingston-upon-Hull	414.27
Gent (Gand)	Leeds	482.51
Gent (Gand)	Leicester	388.06
Gent (Gand)	LONDON	280.16
Gent (Gand)	Luton	309.41
Gent (Gand)	Northampton	354.82
Gent (Gand)	Nottingham	405.88
Gent (Gand)	Portsmouth	345.82
Gent (Gand)	Reading	339.00
Gent (Gand)	Sheffield	450.74
Gent (Gand)	Southampton	368.39
