Stadt	Einwohner	Land	Breitengrad	Laengengrad
Biisk	215780.0	Russia	52.5394905	85.2148673
Blagoveshchensk	222065.0	Russia	50.290527	127.527161
Bor	122201.0	Russia	56.3598289	44.0542641
Bratsk	242604.0	Russia	56.1517085	101.6334907
Bryansk	430987.0	Russia	53.2423778	34.3668288
Cheboksary	473189.0	Russia	56.1307195	47.2449597
Chelyabinsk	1149829.0	Russia	55.1598408	61.4025547
Cherepovets	315186.0	Russia	59.128696	37.916389
Cherkessk	126884.0	Russia	44.2285229	42.048257
Chita	329868.0	Russia	52.033409	113.500893
Derbent	119647.0	Russia	42.057858	48.2887648
Dimitrovgrad	120750.0	Russia	54.2188995	49.6038982
Domodedovo	142743.0	Russia	55.4368213	37.7680693
Dzerzhinsk	248649.0	Russia	56.2382157	43.4617405
Ekaterinburg	1420285.0	Russia	56.839104	60.60825
Elektrostal	156136.0	Russia	55.7903785	38.4405711
Elets	107347.0	Russia	52.6219865	38.5003298
Elista	108753.0	Russia	46.306999	44.270187
Engels	211825.0	Russia	51.5013775	46.1233093
Yessentuki	101851.0	Russia	44.0468389	42.8565018
Groznyi	276524.0	Russia	43.3197031	45.6934308
Khasavyurt	133188.0	Russia	43.246916	46.5855184
Irkutsk	601993.0	Russia	52.289597	104.280586
Ivanovo	408952.0	Russia	56.9984452	40.9737394
Izhevsk	631182.0	Russia	56.866557	53.2094166
Kaliningrad	437456.0	Russia	54.710128	20.5105838
Kaluga	344766.0	Russia	54.5101087	36.2598115
Kamensk-Uralsky	174493.0	Russia	56.415451	61.917797
Kamyshin	117352.0	Russia	50.06525345	45.38449115922653
Kaspiysk	102421.0	Russia	42.8881414	47.6424676
Kazan	1168745.0	Russia	55.7823547	49.1242266
Kemerovo	538188.0	Russia	54.5335781	87.342861
Khabarovsk	589596.0	Russia	48.481403	135.076935
Khimki	218275.0	Russia	55.8892847	37.4449896
Kirov	505346.0	Russia	58.6035257	49.6639029
Kiselyovsk	101180.0	Russia	54.0049872	86.6354771
Kislovodsk	136142.0	Russia	43.9128743	42.7192186
Kolomna	144838.0	Russia	55.0938743	38.7670121
Komsomolsk-na-Amure	259081.0	Russia	50.550877	137.020782
Kopeysk	141291.0	Russia	55.1131951	61.6216332
Korolev	186460.0	Russia	55.9204898	37.8326289
Kostroma	270366.0	Russia	57.7679158	40.9269141
Kovrov	346922.0	Russia	56.374603	41.311676
Krasnodar	861181.0	Russia	45.0352566	38.9764814
Krasnogorsk	125787.0	Russia	55.821744	37.3404142
Krasnoyarsk	1007654.0	Russia	63.3233807	97.0979974
Kurgan	326729.0	Russia	55.51707765	65.45906580229595
Kursk	425950.0	Russia	51.739433	36.179604
Kyzyl	112659.0	Russia	51.7190995	94.4300627
Leninsk-Kuznetsky	102285.0	Russia	54.665443	86.166115
Lipetsk	508585.0	Russia	52.6946301	39.4278734
Lyubertsy	178884.0	Russia	55.6783142	37.89377
Magadan	101933.0	Russia	59.5604768	150.7988617
Magnitogorsk	410733.0	Russia	53.4242184	58.983136
Maikop	167281.0	Russia	44.6062079	40.104053
Makhachkala	701753.0	Russia	42.9830241	47.5048717
