JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 C3-K1 s8 C3-K2 s9 K1-K2 s10
Aperture: 8, Filter: L, JD: geocentric
2460492.4486227 0.86369 0.00379 1.05289 0.00390 1.15719 0.00386 -0.43223 0.00200 -0.32793 0.00192 0.91626 0.00350 1.02057 0.00345 0.55243 0.00282 0.65673 0.00276 0.10430 0.00217
2460492.4500694 0.87667 0.00377 1.06414 0.00388 1.17155 0.00386 -0.43594 0.00197 -0.32854 0.00193 0.91880 0.00342 1.02621 0.00339 0.55254 0.00283 0.65994 0.00280 0.10741 0.00217
2460492.4515162 0.85384 0.00367 1.04476 0.00380 1.14943 0.00376 -0.43001 0.00201 -0.32534 0.00194 0.92685 0.00346 1.03152 0.00341 0.54660 0.00281 0.65127 0.00276 0.10467 0.00219
2460492.4558565 0.85877 0.00371 1.04748 0.00382 1.15423 0.00377 -0.43300 0.00197 -0.32625 0.00188 0.92173 0.00345 1.02848 0.00340 0.54836 0.00277 0.65511 0.00271 0.10675 0.00213
2460492.4587616 0.84495 0.00364 1.03273 0.00377 1.14019 0.00372 -0.43510 0.00200 -0.32764 0.00192 0.92101 0.00341 1.02848 0.00336 0.55017 0.00279 0.65764 0.00273 0.10746 0.00218
2460492.4616551 0.83604 0.00369 1.02628 0.00380 1.13010 0.00377 -0.42953 0.00200 -0.32571 0.00194 0.91991 0.00349 1.02374 0.00346 0.54752 0.00284 0.65135 0.00280 0.10382 0.00218
2460492.4631134 0.81407 0.00373 1.01037 0.00384 1.10391 0.00380 -0.42612 0.00205 -0.33258 0.00197 0.92948 0.00359 1.02302 0.00354 0.55760 0.00290 0.65114 0.00284 0.09354 0.00222
2460492.4645486 0.80538 0.00360 0.99489 0.00373 1.10455 0.00368 -0.43015 0.00205 -0.32049 0.00196 0.91951 0.00351 1.02917 0.00346 0.54627 0.00292 0.65593 0.00286 0.10966 0.00222
2460492.4660069 0.78751 0.00351 0.98278 0.00363 1.08223 0.00358 -0.42772 0.00202 -0.32827 0.00193 0.92635 0.00347 1.02580 0.00342 0.55949 0.00282 0.65894 0.00276 0.09945 0.00216
2460492.4674653 0.77901 0.00334 0.97141 0.00345 1.07744 0.00341 -0.43108 0.00192 -0.32505 0.00185 0.92431 0.00336 1.03033 0.00332 0.55724 0.00274 0.66326 0.00269 0.10603 0.00208
