JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 K1-K2 s8
Aperture: 6, Filter: L, JD: geocentric
2460492.5175231 0.75312 0.00282 -0.57856 0.00363 -1.73722 0.00792 0.57067 0.00540 -0.58799 0.00887 -1.98578 0.00313 -3.14444 0.00770 -1.15867 0.00821
2460492.5189699 0.71975 0.00282 -0.60288 0.00364 -1.77223 0.00791 0.56673 0.00546 -0.60262 0.00889 -1.97549 0.00316 -3.14485 0.00770 -1.16936 0.00822
2460492.5204282 0.71382 0.00286 -0.61584 0.00375 -1.79476 0.00793 0.55597 0.00557 -0.62295 0.00894 -1.98216 0.00327 -3.16108 0.00771 -1.17893 0.00827
2460492.5218750 0.71342 0.00288 -0.62317 0.00376 -1.77103 0.00811 0.55522 0.00561 -0.59264 0.00912 -1.98968 0.00328 -3.13755 0.00790 -1.14786 0.00844
2460492.5233218 0.70944 0.00285 -0.61261 0.00378 -1.79169 0.00790 0.57368 0.00556 -0.60540 0.00889 -1.97552 0.00330 -3.15460 0.00768 -1.17908 0.00825
2460492.5247685 0.71438 0.00286 -0.61370 0.00378 -1.77811 0.00808 0.56260 0.00558 -0.60182 0.00907 -1.98107 0.00330 -3.14548 0.00787 -1.16441 0.00842
2460492.5262153 0.71912 0.00288 -0.59909 0.00369 -1.79190 0.00835 0.57248 0.00555 -0.62033 0.00932 -1.97121 0.00318 -3.16402 0.00813 -1.19281 0.00863
2460492.5276620 0.73374 0.00287 -0.59459 0.00375 -1.76547 0.00826 0.55905 0.00558 -0.61183 0.00924 -1.98101 0.00326 -3.15189 0.00805 -1.17088 0.00858
2460492.5291088 0.74550 0.00288 -0.57702 0.00372 -1.75091 0.00782 0.57538 0.00548 -0.59851 0.00880 -1.97620 0.00319 -3.15009 0.00759 -1.17389 0.00812
2460492.5305556 0.75748 0.00288 -0.56903 0.00376 -1.74475 0.00825 0.55797 0.00547 -0.61775 0.00916 -1.97890 0.00323 -3.15462 0.00802 -1.17572 0.00855
2460492.5327546 0.77329 0.00289 -0.54902 0.00378 -1.72017 0.00784 0.56640 0.00552 -0.60475 0.00881 -1.97511 0.00326 -3.14626 0.00760 -1.17115 0.00816
2460492.5342014 0.78279 0.00297 -0.54218 0.00384 -1.71073 0.00805 0.56911 0.00570 -0.59944 0.00909 -1.97829 0.00330 -3.14683 0.00781 -1.16855 0.00837
2460492.5356366 0.79701 0.00294 -0.53505 0.00384 -1.71164 0.00823 0.55120 0.00559 -0.62539 0.00918 -1.98434 0.00329 -3.16093 0.00799 -1.17660 0.00853
2460492.5370949 0.81296 0.00297 -0.51839 0.00387 -1.68175 0.00794 0.55300 0.00560 -0.61036 0.00891 -1.98373 0.00331 -3.14709 0.00768 -1.16336 0.00826
2460492.5385417 0.82572 0.00297 -0.49474 0.00381 -1.65647 0.00774 0.57854 0.00561 -0.58318 0.00877 -1.97425 0.00324 -3.13597 0.00748 -1.16172 0.00804
2460492.5399884 0.82835 0.00297 -0.49560 0.00377 -1.67715 0.00790 0.56820 0.00554 -0.61336 0.00889 -1.97708 0.00319 -3.15863 0.00764 -1.18155 0.00817
2460492.5414352 0.82352 0.00294 -0.49308 0.00374 -1.65611 0.00785 0.57407 0.00552 -0.58896 0.00884 -1.96960 0.00318 -3.13263 0.00760 -1.16303 0.00813
2460492.5428935 0.83882 0.00293 -0.48026 0.00373 -1.64510 0.00774 0.56917 0.00545 -0.59568 0.00870 -1.97183 0.00315 -3.13667 0.00748 -1.16484 0.00801
2460492.5443403 0.84452 0.00291 -0.47527 0.00369 -1.64041 0.00773 0.56891 0.00539 -0.59623 0.00867 -1.97260 0.00311 -3.13774 0.00747 -1.16514 0.00798
2460492.5457870 0.84786 0.00290 -0.48604 0.00374 -1.65959 0.00799 0.55599 0.00543 -0.61757 0.00890 -1.98681 0.00319 -3.16037 0.00774 -1.17355 0.00827
2460492.5472222 0.85762 0.00290 -0.46146 0.00372 -1.66115 0.00820 0.56643 0.00532 -0.63326 0.00904 -1.97158 0.00315 -3.17126 0.00795 -1.19969 0.00845
2460492.5486806 0.85514 0.00291 -0.46787 0.00370 -1.64202 0.00763 0.56319 0.00539 -0.61096 0.00858 -1.97558 0.00312 -3.14972 0.00737 -1.17415 0.00789
2460492.5501273 0.85535 0.00286 -0.46868 0.00366 -1.65166 0.00792 0.56684 0.00532 -0.61614 0.00881 -1.97704 0.00310 -3.16001 0.00767 -1.18298 0.00818
2460492.5515741 0.85651 0.00285 -0.46975 0.00363 -1.62997 0.00766 0.56405 0.00522 -0.59616 0.00853 -1.97922 0.00305 -3.13944 0.00740 -1.16021 0.00790
2460492.5537616 0.85921 0.00283 -0.45259 0.00358 -1.64217 0.00759 0.58623 0.00514 -0.60335 0.00844 -1.96550 0.00300 -3.15508 0.00733 -1.18958 0.00782
2460492.5552083 0.85797 0.00285 -0.46062 0.00362 -1.64712 0.00742 0.56258 0.00527 -0.62393 0.00836 -1.97066 0.00306 -3.15717 0.00717 -1.18651 0.00769
2460492.5566667 0.84894 0.00279 -0.48548 0.00358 -1.64853 0.00751 0.55586 0.00511 -0.60719 0.00835 -1.98737 0.00303 -3.15042 0.00726 -1.16305 0.00776
2460492.5581134 0.85146 0.00283 -0.47887 0.00360 -1.64021 0.00721 0.56289 0.00526 -0.59845 0.00817 -1.98357 0.00304 -3.14491 0.00695 -1.16134 0.00748
2460492.5595602 0.83663 0.00285 -0.48732 0.00360 -1.64451 0.00739 0.56802 0.00533 -0.58917 0.00838 -1.97706 0.00305 -3.13425 0.00714 -1.15719 0.00766
2460492.5610069 0.82127 0.00276 -0.49727 0.00358 -1.66589 0.00744 0.57016 0.00516 -0.59845 0.00832 -1.97135 0.00305 -3.13996 0.00720 -1.16862 0.00772
2460492.5624537 0.81261 0.00280 -0.51225 0.00364 -1.66778 0.00747 0.55987 0.00525 -0.59567 0.00837 -1.97727 0.00311 -3.13281 0.00723 -1.15554 0.00776
2460492.5639005 0.78548 0.00278 -0.53271 0.00359 -1.70550 0.00739 0.56309 0.00523 -0.60970 0.00831 -1.97028 0.00307 -3.14306 0.00715 -1.17278 0.00767
2460492.5653472 0.76665 0.00282 -0.55899 0.00356 -1.74113 0.00780 0.57161 0.00536 -0.61053 0.00876 -1.97926 0.00304 -3.16140 0.00757 -1.18214 0.00806
2460492.5667940 0.75448 0.00279 -0.57574 0.00362 -1.72131 0.00765 0.56285 0.00533 -0.58271 0.00859 -1.98345 0.00313 -3.12901 0.00743 -1.14556 0.00795
2460492.5682523 0.72585 0.00280 -0.59910 0.00367 -1.75247 0.00767 0.56515 0.00547 -0.58822 0.00868 -1.97789 0.00319 -3.13126 0.00746 -1.15337 0.00801
2460492.5696991 0.71518 0.00278 -0.61005 0.00359 -1.79005 0.00772 0.57346 0.00539 -0.60654 0.00870 -1.97899 0.00312 -3.15899 0.00751 -1.18000 0.00802
2460492.5711343 0.69184 0.00280 -0.62481 0.00364 -1.80875 0.00791 0.57575 0.00551 -0.60819 0.00892 -1.96981 0.00318 -3.15375 0.00771 -1.18394 0.00823
2460492.5725926 0.68919 0.00281 -0.63633 0.00367 -1.79424 0.00780 0.55934 0.00552 -0.59857 0.00882 -1.97795 0.00321 -3.13586 0.00759 -1.15791 0.00814
2460492.5747685 0.69726 0.00288 -0.63707 0.00375 -1.79581 0.00799 0.56290 0.00575 -0.59584 0.00910 -1.98795 0.00329 -3.14669 0.00778 -1.15874 0.00834
2460492.5762269 0.70627 0.00288 -0.61580 0.00377 -1.78826 0.00800 0.55620 0.00562 -0.61626 0.00902 -1.97386 0.00328 -3.14633 0.00778 -1.17246 0.00833
2460492.5776736 0.72328 0.00291 -0.59856 0.00380 -1.74899 0.00797 0.55777 0.00564 -0.59267 0.00900 -1.97376 0.00329 -3.12420 0.00775 -1.15043 0.00831
2460492.5791204 0.73402 0.00291 -0.58181 0.00383 -1.73675 0.00810 0.56840 0.00571 -0.58654 0.00914 -1.96820 0.00334 -3.12314 0.00788 -1.15495 0.00845
2460492.5805787 0.75803 0.00299 -0.56332 0.00384 -1.74415 0.00851 0.56993 0.00582 -0.61090 0.00956 -1.97439 0.00331 -3.15522 0.00828 -1.18083 0.00881
2460492.5820255 0.76724 0.00300 -0.55943 0.00388 -1.72041 0.00839 0.56837 0.00591 -0.59260 0.00950 -1.98008 0.00336 -3.14106 0.00816 -1.16098 0.00873
2460492.5834606 0.77927 0.00300 -0.52926 0.00383 -1.70653 0.00843 0.57598 0.00578 -0.60128 0.00947 -1.96093 0.00328 -3.13820 0.00819 -1.17727 0.00872
2460492.5849190 0.78689 0.00306 -0.52563 0.00390 -1.72049 0.00854 0.58010 0.00589 -0.61475 0.00961 -1.96570 0.00334 -3.16055 0.00829 -1.19486 0.00884
2460492.5863657 0.80350 0.00311 -0.52044 0.00397 -1.69619 0.00867 0.57486 0.00601 -0.60090 0.00978 -1.97771 0.00340 -3.15346 0.00842 -1.17576 0.00898
2460492.5878125 0.81865 0.00315 -0.49939 0.00403 -1.66981 0.00882 0.56694 0.00597 -0.60349 0.00986 -1.97048 0.00343 -3.14090 0.00856 -1.17043 0.00912
2460492.5892708 0.82043 0.00322 -0.49095 0.00407 -1.67253 0.00906 0.57880 0.00620 -0.60278 0.01020 -1.96433 0.00346 -3.14590 0.00881 -1.18158 0.00936
2460492.5907176 0.82594 0.00324 -0.49241 0.00422 -1.67222 0.00879 0.57655 0.00629 -0.60327 0.00995 -1.97175 0.00362 -3.15156 0.00852 -1.17981 0.00915
2460492.5921644 0.84511 0.00324 -0.47454 0.00417 -1.65570 0.00920 0.57931 0.00620 -0.60185 0.01028 -1.97344 0.00355 -3.15460 0.00894 -1.18116 0.00952
2460492.5936111 0.84694 0.00323 -0.47112 0.00422 -1.64834 0.00912 0.56353 0.00617 -0.61369 0.01017 -1.97018 0.00360 -3.14740 0.00885 -1.17722 0.00945
2460492.5957986 0.85538 0.00331 -0.45958 0.00419 -1.65353 0.00904 0.57202 0.00622 -0.62193 0.01014 -1.96760 0.00353 -3.16154 0.00875 -1.19395 0.00933
2460492.5972454 0.85518 0.00330 -0.46983 0.00424 -1.65304 0.00929 0.55992 0.00630 -0.62329 0.01039 -1.97745 0.00360 -3.16066 0.00902 -1.18321 0.00961
2460492.5986921 0.85766 0.00332 -0.46440 0.00425 -1.64738 0.00933 0.57111 0.00635 -0.61187 0.01045 -1.97529 0.00361 -3.15827 0.00905 -1.18298 0.00964
