JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C1-K1 s6 C1-K2 s7 C1-K3 s8 C1-K4 s9 C2-K1 s10 C2-K2 s11 C2-K3 s12 C2-K4 s13 K1-K2 s14 K1-K3 s15 K1-K4 s16 K2-K3 s17 K2-K4 s18 K3-K4 s19
Aperture: 6, Filter: L, JD: geocentric
2460492.4131134 0.73316 0.00326 99.99999 9.99999 -2.60528 0.01768 -0.78517 0.00471 -1.76234 0.00948 99.99999 9.99999 -1.45130 0.01833 0.36881 0.00676 -0.60836 0.01065 99.99999 9.99999 -3.99109 0.01756 -2.17099 0.00422 -3.14816 0.00925 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 1.82011 0.01800 0.84294 0.01979 -0.97717 0.01006
2460492.4145602 0.72072 0.00332 -0.59886 0.00434 -2.60443 0.01807 -0.80728 0.00480 -1.77016 0.00944 0.55631 0.00654 -1.44927 0.01872 0.34788 0.00685 -0.61500 0.01063 -1.97113 0.00377 -3.97671 0.01794 -2.17956 0.00428 -3.14244 0.00919 -2.00558 0.01827 -0.20842 0.00551 -1.17131 0.00982 1.79715 0.01838 0.83427 0.02010 -0.96288 0.01003
2460492.4160069 0.72384 0.00327 -0.59315 0.00424 -2.57862 0.01789 -0.78626 0.00475 -1.76400 0.00970 0.56026 0.00642 -1.42522 0.01853 0.36714 0.00677 -0.61060 0.01083 -1.96868 0.00368 -3.95416 0.01777 -2.16179 0.00426 -3.13953 0.00947 -1.98548 0.01808 -0.19311 0.00543 -1.17085 0.01005 1.79237 0.01821 0.81463 0.02008 -0.97774 0.01028
2460492.4174537 0.71293 0.00316 -0.60578 0.00426 -2.57476 0.01682 -0.80914 0.00452 -1.76815 0.00914 0.54855 0.00631 -1.42043 0.01745 0.34520 0.00650 -0.61382 0.01026 -1.96943 0.00375 -3.93841 0.01670 -2.17278 0.00405 -3.13180 0.00892 -1.96898 0.01705 -0.20335 0.00532 -1.16237 0.00956 1.76563 0.01712 0.80661 0.01887 -0.95902 0.00968
2460492.4196412 0.73192 0.00324 -0.59026 0.00423 -2.60351 0.01772 -0.77854 0.00452 -1.75958 0.00907 0.56085 0.00638 -1.45241 0.01835 0.37256 0.00657 -0.60847 0.01025 -1.97443 0.00368 -3.98769 0.01759 -2.16271 0.00400 -3.14375 0.00883 -2.01326 0.01791 -0.18829 0.00524 -1.16932 0.00945 1.82497 0.01798 0.84393 0.01963 -0.98104 0.00958
2460492.4210880 0.72952 0.00327 -0.59456 0.00424 -2.57901 0.01761 -0.78102 0.00465 -1.76043 0.00938 0.55442 0.00640 -1.43004 0.01825 0.36796 0.00667 -0.61145 0.01053 -1.97590 0.00367 -3.96035 0.01748 -2.16236 0.00413 -3.14177 0.00913 -1.98445 0.01780 -0.18646 0.00533 -1.16587 0.00973 1.79799 0.01790 0.81858 0.01966 -0.97941 0.00991
2460492.4225347 0.73870 0.00321 -0.59075 0.00428 -2.56086 0.01701 -0.78685 0.00469 -1.77034 0.00907 0.55688 0.00634 -1.41323 0.01764 0.36078 0.00661 -0.62271 0.01020 -1.98202 0.00374 -3.95213 0.01688 -2.17812 0.00419 -3.16160 0.00882 -1.97010 0.01723 -0.19609 0.00543 -1.17958 0.00947 1.77401 0.01733 0.79052 0.01899 -0.98349 0.00966
2460492.4239815 0.74463 0.00334 -0.56238 0.00428 -2.60868 0.01869 -0.76383 0.00469 -1.74842 0.00950 0.57781 0.00661 -1.46848 0.01935 0.37637 0.00688 -0.60823 0.01075 -1.95944 0.00371 -4.00574 0.01856 -2.16088 0.00417 -3.14548 0.00925 -2.04630 0.01887 -0.20144 0.00538 -1.18604 0.00986 1.84485 0.01897 0.86026 0.02069 -0.98460 0.01004
2460492.4254282 0.76083 0.00332 -0.56388 0.00435 -2.51024 0.01749 -0.75501 0.00464 -1.75496 0.00969 0.54710 0.00651 -1.39925 0.01815 0.35597 0.00671 -0.64398 0.01083 -1.97587 0.00378 -3.92222 0.01736 -2.16700 0.00411 -3.16695 0.00945 -1.94635 0.01770 -0.19113 0.00538 -1.19108 0.01006 1.75522 0.01777 0.75528 0.01970 -0.99995 0.01019
2460492.4268866 0.78418 0.00345 -0.53729 0.00448 -2.53138 0.01830 -0.73441 0.00489 -1.71263 0.00969 0.57357 0.00678 -1.42052 0.01900 0.37645 0.00706 -0.60177 0.01094 -1.97488 0.00388 -3.96897 0.01817 -2.17200 0.00434 -3.15022 0.00942 -1.99409 0.01851 -0.19712 0.00562 -1.17534 0.01008 1.79697 0.01861 0.81875 0.02041 -0.97822 0.01026
2460492.4283333 0.79313 0.00349 -0.53467 0.00457 -2.52134 0.01908 -0.72275 0.00500 -1.72544 0.01008 0.56012 0.00679 -1.42655 0.01973 0.37204 0.00709 -0.63065 0.01126 -1.98053 0.00393 -3.96720 0.01894 -2.16861 0.00443 -3.17130 0.00981 -1.98667 0.01928 -0.18809 0.00572 -1.19078 0.01046 1.79858 0.01939 0.79590 0.02127 -1.00269 0.01065
2460492.4297801 0.80160 0.00363 -0.52180 0.00470 -2.58128 0.02027 -0.71675 0.00511 -1.69207 0.01008 0.56127 0.00709 -1.49821 0.02096 0.36633 0.00737 -0.60899 0.01140 -1.97582 0.00403 -4.03530 0.02013 -2.17076 0.00451 -3.14608 0.00979 -2.05948 0.02047 -0.19494 0.00585 -1.17026 0.01047 1.86453 0.02057 0.88921 0.02233 -0.97532 0.01067
2460492.4312384 0.80989 0.00351 -0.50240 0.00447 -2.54595 0.01984 -0.71347 0.00495 -1.67711 0.00958 0.58076 0.00686 -1.46279 0.02051 0.36970 0.00719 -0.59394 0.01091 -1.96551 0.00383 -4.00906 0.01970 -2.17658 0.00439 -3.14021 0.00930 -2.04355 0.02002 -0.21107 0.00562 -1.17470 0.00994 1.83248 0.02013 0.86885 0.02174 -0.96364 0.01017
2460492.4326852 0.81306 0.00350 -0.50155 0.00453 -2.48743 0.01879 -0.70416 0.00497 -1.68065 0.00993 0.58234 0.00668 -1.40354 0.01942 0.37973 0.00699 -0.59676 0.01108 -1.96819 0.00386 -3.95407 0.01864 -2.17081 0.00437 -3.14729 0.00964 -1.98588 0.01897 -0.20261 0.00563 -1.17910 0.01027 1.78327 0.01908 0.80678 0.02093 -0.97649 0.01047
2460492.4341319 0.82215 0.00343 -0.50783 0.00449 -2.49877 0.01828 -0.69624 0.00484 -1.67286 0.00966 0.56337 0.00665 -1.42757 0.01892 0.37496 0.00689 -0.60166 0.01083 -1.98323 0.00387 -3.97417 0.01814 -2.17164 0.00427 -3.14826 0.00939 -1.99095 0.01848 -0.18841 0.00556 -1.16503 0.01004 1.80253 0.01857 0.82591 0.02037 -0.97662 0.01021
2460492.4355903 0.82632 0.00343 -0.49898 0.00453 -2.50846 0.01942 -0.69595 0.00497 -1.66441 0.00970 0.55699 0.00659 -1.45249 0.02000 0.36002 0.00691 -0.60843 0.01082 -1.97748 0.00389 -3.98696 0.01928 -2.17446 0.00440 -3.14291 0.00942 -2.00948 0.01961 -0.19697 0.00568 -1.16543 0.01008 1.81251 0.01971 0.84405 0.02140 -0.96846 0.01029
2460492.4384838 0.81831 0.00345 -0.50352 0.00453 -2.46685 0.01797 -0.68216 0.00490 -1.66297 0.00954 0.54638 0.00663 -1.41695 0.01861 0.36774 0.00689 -0.61307 0.01070 -1.97265 0.00390 -3.93598 0.01782 -2.15129 0.00432 -3.13209 0.00926 -1.96333 0.01818 -0.17864 0.00561 -1.15945 0.00993 1.78469 0.01827 0.80388 0.02002 -0.98081 0.01010
2460492.4399306 0.83441 0.00351 -0.48244 0.00453 -2.49756 0.01880 -0.67375 0.00490 -1.67632 0.01009 0.56047 0.00667 -1.45465 0.01943 0.36916 0.00692 -0.63341 0.01122 -1.96855 0.00385 -3.98367 0.01865 -2.15986 0.00428 -3.16243 0.00981 -2.01512 0.01899 -0.19131 0.00555 -1.19388 0.01043 1.82381 0.01908 0.82124 0.02102 -1.00257 0.01059
2460492.4428356 0.83385 0.00348 -0.48122 0.00442 -2.48240 0.01820 -0.67411 0.00477 -1.65781 0.00959 0.56864 0.00658 -1.43254 0.01884 0.37576 0.00681 -0.60795 0.01075 -1.96740 0.00374 -3.96857 0.01805 -2.16028 0.00414 -3.14399 0.00929 -2.00118 0.01837 -0.19289 0.00537 -1.17659 0.00990 1.80829 0.01846 0.82459 0.02024 -0.98370 0.01006
2460492.4442824 0.83142 0.00352 -0.47824 0.00449 -2.50800 0.01841 -0.68599 0.00480 -1.65042 0.00955 0.57617 0.00678 -1.45359 0.01910 0.36842 0.00698 -0.59601 0.01082 -1.96219 0.00382 -3.99194 0.01826 -2.16993 0.00418 -3.13436 0.00926 -2.02975 0.01860 -0.20775 0.00546 -1.17218 0.00990 1.82201 0.01868 0.85758 0.02042 -0.96443 0.01005
2460492.4457292 0.82852 0.00343 -0.48177 0.00440 -2.49379 0.01819 -0.67880 0.00478 -1.67857 0.00971 0.56559 0.00657 -1.44644 0.01883 0.36855 0.00682 -0.63122 0.01086 -1.96185 0.00375 -3.97387 0.01804 -2.15888 0.00419 -3.15866 0.00943 -2.01202 0.01837 -0.19703 0.00542 -1.19680 0.01004 1.81499 0.01846 0.81522 0.02031 -0.99977 0.01021
2460492.4486227 0.83587 0.00348 -0.48043 0.00437 -2.51329 0.01856 -0.68208 0.00481 -1.66720 0.00959 0.57552 0.00654 -1.45735 0.01919 0.37386 0.00684 -0.61125 0.01075 -1.96940 0.00367 -4.00226 0.01841 -2.17105 0.00419 -3.15617 0.00929 -2.03287 0.01871 -0.20165 0.00536 -1.18677 0.00988 1.83121 0.01882 0.84610 0.02057 -0.98512 0.01008
2460492.4500694 0.84180 0.00344 -0.48407 0.00447 -2.47192 0.01817 -0.67967 0.00490 -1.64240 0.00938 0.56523 0.00653 -1.42263 0.01879 0.36962 0.00683 -0.59311 0.01052 -1.97890 0.00380 -3.96676 0.01802 -2.17451 0.00430 -3.13724 0.00908 -1.98785 0.01835 -0.19560 0.00554 -1.15833 0.00973 1.79225 0.01846 0.82952 0.02012 -0.96273 0.00993
2460492.4515162 0.82204 0.00341 -0.50089 0.00438 -2.50455 0.01811 -0.69254 0.00476 -1.65879 0.00966 0.57155 0.00648 -1.43211 0.01873 0.37990 0.00675 -0.58635 0.01078 -1.97628 0.00373 -3.97994 0.01796 -2.16793 0.00417 -3.13419 0.00938 -2.00366 0.01828 -0.19165 0.00540 -1.15790 0.00998 1.81201 0.01838 0.84576 0.02021 -0.96625 0.01016
2460492.4529630 0.82486 0.00333 -0.49723 0.00432 -2.49679 0.01752 -0.69367 0.00476 -1.65193 0.00922 0.56959 0.00631 -1.42997 0.01811 0.37314 0.00662 -0.58512 0.01031 -1.97517 0.00369 -3.97473 0.01738 -2.17162 0.00419 -3.12988 0.00895 -1.99956 0.01770 -0.19645 0.00539 -1.15471 0.00956 1.80311 0.01781 0.84485 0.01949 -0.95826 0.00977
2460492.4544097 0.82318 0.00334 -0.49697 0.00431 -2.52613 0.01797 -0.69937 0.00474 -1.66168 0.00940 0.57574 0.00632 -1.45341 0.01856 0.37335 0.00662 -0.58896 0.01048 -1.97365 0.00366 -4.00281 0.01783 -2.17605 0.00416 -3.13836 0.00912 -2.02916 0.01814 -0.20240 0.00535 -1.16471 0.00972 1.82676 0.01825 0.86445 0.01997 -0.96231 0.00992
2460492.4558565 0.82726 0.00339 -0.49398 0.00428 -2.47759 0.01728 -0.69794 0.00469 -1.66850 0.00881 0.57429 0.00633 -1.40932 0.01790 0.37033 0.00662 -0.60023 0.00997 -1.97469 0.00361 -3.95830 0.01712 -2.17865 0.00409 -3.14922 0.00851 -1.98361 0.01744 -0.20396 0.00525 -1.17452 0.00912 1.77965 0.01754 0.80909 0.01906 -0.97056 0.00932
2460492.4573148 0.81413 0.00336 -0.51324 0.00433 -2.53349 0.01782 -0.71008 0.00472 -1.64806 0.00905 0.56004 0.00632 -1.46021 0.01841 0.36320 0.00660 -0.57478 0.01015 -1.98005 0.00368 -4.00030 0.01767 -2.17689 0.00413 -3.11487 0.00875 -2.02025 0.01799 -0.19684 0.00533 -1.13482 0.00938 1.82341 0.01809 0.88543 0.01967 -0.93798 0.00956
2460492.4587616 0.81450 0.00340 -0.51826 0.00442 -2.51308 0.01765 -0.70012 0.00472 -1.67955 0.00959 0.55912 0.00655 -1.43571 0.01830 0.37725 0.00676 -0.60217 0.01075 -1.98586 0.00378 -3.98068 0.01750 -2.16772 0.00413 -3.14715 0.00932 -1.99483 0.01785 -0.18186 0.00540 -1.16129 0.00995 1.81296 0.01792 0.83353 0.01977 -0.97943 0.01009
2460492.4602199 0.79507 0.00341 -0.52773 0.00435 -2.50456 0.01773 -0.73444 0.00482 -1.67910 0.00956 0.56701 0.00659 -1.40981 0.01841 0.36030 0.00691 -0.58435 0.01076 -1.97571 0.00373 -3.95253 0.01759 -2.18241 0.00427 -3.12707 0.00929 -1.97682 0.01792 -0.20671 0.00547 -1.15137 0.00990 1.77012 0.01804 0.82546 0.01984 -0.94466 0.01012
2460492.4616551 0.80278 0.00343 -0.51261 0.00446 -2.50927 0.01823 -0.72279 0.00484 -1.66814 0.00936 0.56607 0.00661 -1.43059 0.01887 0.35589 0.00687 -0.58946 0.01056 -1.96749 0.00382 -3.96415 0.01809 -2.17767 0.00426 -3.12302 0.00908 -1.99666 0.01842 -0.21018 0.00552 -1.15553 0.00973 1.78648 0.01852 0.84113 0.02018 -0.94535 0.00991
2460492.4631134 0.78548 0.00345 -0.53520 0.00444 -2.54742 0.01895 -0.73967 0.00488 -1.69993 0.00963 0.57284 0.00659 -1.43938 0.01956 0.36837 0.00689 -0.59189 0.01080 -1.97394 0.00379 -3.98617 0.01881 -2.17842 0.00430 -3.13868 0.00935 -2.01222 0.01912 -0.20447 0.00553 -1.16473 0.00998 1.80775 0.01923 0.84749 0.02095 -0.96026 0.01018
2460492.4645486 0.76982 0.00339 -0.55207 0.00444 -2.56249 0.01832 -0.75121 0.00491 -1.71921 0.00952 0.57659 0.00660 -1.43383 0.01896 0.37746 0.00693 -0.59055 0.01070 -1.97564 0.00384 -3.98605 0.01818 -2.17477 0.00437 -3.14277 0.00926 -2.01042 0.01852 -0.19913 0.00562 -1.16714 0.00991 1.81128 0.01864 0.84328 0.02034 -0.96800 0.01013
2460492.4660069 0.75632 0.00330 -0.57313 0.00431 -2.55521 0.01790 -0.76732 0.00465 -1.73686 0.00947 0.55451 0.00640 -1.42757 0.01851 0.36032 0.00663 -0.60922 0.01058 -1.98179 0.00372 -3.96387 0.01777 -2.17598 0.00412 -3.14552 0.00922 -1.98208 0.01809 -0.19419 0.00534 -1.16372 0.00983 1.78789 0.01817 0.81835 0.01996 -0.96953 0.00998
2460492.4674653 0.75115 0.00321 -0.56939 0.00423 -2.58049 0.01688 -0.77732 0.00453 -1.73074 0.00898 0.56696 0.00632 -1.44414 0.01752 0.35902 0.00652 -0.59439 0.01013 -1.97322 0.00368 -3.98432 0.01675 -2.18116 0.00403 -3.13457 0.00873 -2.01110 0.01709 -0.20794 0.00526 -1.16135 0.00936 1.80316 0.01716 0.84975 0.01883 -0.95341 0.00950
2460492.4696528 0.72896 0.00309 -0.59994 0.00410 -2.59093 0.01690 -0.78562 0.00443 -1.75299 0.00869 0.55402 0.00609 -1.43696 0.01749 0.36835 0.00632 -0.59903 0.00979 -1.98115 0.00359 -3.97214 0.01679 -2.16682 0.00396 -3.13420 0.00846 -1.99099 0.01711 -0.18568 0.00515 -1.15305 0.00907 1.80531 0.01719 0.83794 0.01874 -0.96737 0.00923
2460492.4710995 0.73660 0.00306 -0.58745 0.00393 -2.59070 0.01545 -0.77597 0.00427 -1.74074 0.00810 0.57721 0.00596 -1.42603 0.01609 0.38870 0.00619 -0.57608 0.00926 -1.97806 0.00340 -3.98130 0.01533 -2.16657 0.00379 -3.13134 0.00786 -2.00324 0.01564 -0.18851 0.00490 -1.15329 0.00845 1.81473 0.01573 0.84995 0.01717 -0.96477 0.00861
2460492.4740046 0.74391 0.00295 -0.57158 0.00380 -2.59842 0.01516 -0.77639 0.00417 -1.76618 0.00818 0.57883 0.00570 -1.44801 0.01574 0.37402 0.00595 -0.61576 0.00921 -1.96883 0.00328 -3.99567 0.01504 -2.17364 0.00370 -3.16343 0.00795 -2.02684 0.01533 -0.20481 0.00475 -1.19460 0.00849 1.82203 0.01543 0.83224 0.01696 -0.98978 0.00866
2460492.4754630 0.75448 0.00298 -0.56164 0.00379 -2.56835 0.01521 -0.75179 0.00415 -1.71732 0.00801 0.57595 0.00568 -1.43076 0.01578 0.38579 0.00592 -0.57973 0.00906 -1.96924 0.00325 -3.97595 0.01508 -2.15939 0.00366 -3.12492 0.00776 -2.00671 0.01536 -0.19015 0.00470 -1.15568 0.00830 1.81656 0.01546 0.85103 0.01691 -0.96553 0.00847
