JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C1-K1 s6 C1-K2 s7 C1-K3 s8 C1-K4 s9 C2-K1 s10 C2-K2 s11 C2-K3 s12 C2-K4 s13 K1-K2 s14 K1-K3 s15 K1-K4 s16 K2-K3 s17 K2-K4 s18 K3-K4 s19
Aperture: 6, Filter: L, JD: geocentric
2460492.5747685 0.69726 0.00288 -0.63707 0.00375 -2.60134 0.01496 -0.82839 0.00412 -1.79581 0.00799 0.56290 0.00575 -1.40137 0.01558 0.37158 0.00600 -0.59584 0.00910 -1.98795 0.00329 -3.95222 0.01485 -2.17927 0.00370 -3.14669 0.00778 -1.96427 0.01515 -0.19132 0.00477 -1.15874 0.00834 1.77295 0.01525 0.80553 0.01671 -0.96742 0.00852
2460492.5762269 0.70627 0.00288 -0.61580 0.00377 -2.57966 0.01464 -0.81343 0.00413 -1.78826 0.00800 0.55620 0.00562 -1.40766 0.01523 0.35857 0.00587 -0.61626 0.00902 -1.97386 0.00328 -3.93773 0.01452 -2.17149 0.00369 -3.14633 0.00778 -1.96386 0.01483 -0.19763 0.00475 -1.17246 0.00833 1.76623 0.01492 0.79140 0.01642 -0.97483 0.00850
2460492.5776736 0.72328 0.00291 -0.59856 0.00380 -2.57832 0.01527 -0.78328 0.00413 -1.74899 0.00797 0.55777 0.00564 -1.42199 0.01583 0.37305 0.00587 -0.59267 0.00900 -1.97376 0.00329 -3.95352 0.01515 -2.15848 0.00367 -3.12420 0.00775 -1.97976 0.01545 -0.18472 0.00474 -1.15043 0.00831 1.79504 0.01553 0.82933 0.01696 -0.96571 0.00847
2460492.5791204 0.73402 0.00291 -0.58181 0.00383 -2.57204 0.01547 -0.78145 0.00422 -1.73675 0.00810 0.56840 0.00571 -1.42183 0.01604 0.36876 0.00598 -0.58654 0.00914 -1.96820 0.00334 -3.95843 0.01536 -2.16784 0.00378 -3.12314 0.00788 -1.99023 0.01566 -0.19964 0.00486 -1.15495 0.00845 1.79060 0.01576 0.83529 0.01721 -0.95531 0.00864
2460492.5805787 0.75803 0.00299 -0.56332 0.00384 -2.54666 0.01531 -0.76242 0.00422 -1.74415 0.00851 0.56993 0.00582 -1.41341 0.01592 0.37083 0.00607 -0.61090 0.00956 -1.97439 0.00331 -3.95774 0.01519 -2.17349 0.00374 -3.15522 0.00828 -1.98335 0.01549 -0.19910 0.00481 -1.18083 0.00881 1.78425 0.01558 0.80252 0.01725 -0.98173 0.00899
2460492.5820255 0.76724 0.00300 -0.55943 0.00388 -2.52602 0.01512 -0.75299 0.00422 -1.72041 0.00839 0.56837 0.00591 -1.39822 0.01577 0.37482 0.00614 -0.59260 0.00950 -1.98008 0.00336 -3.94667 0.01500 -2.17364 0.00374 -3.14106 0.00816 -1.96659 0.01531 -0.19356 0.00485 -1.16098 0.00873 1.77303 0.01540 0.80561 0.01702 -0.96742 0.00888
2460492.5834606 0.77927 0.00300 -0.52926 0.00383 -2.52511 0.01520 -0.74732 0.00425 -1.70653 0.00843 0.57598 0.00578 -1.41987 0.01580 0.35793 0.00607 -0.60128 0.00947 -1.96093 0.00328 -3.95678 0.01507 -2.17898 0.00377 -3.13820 0.00819 -1.99585 0.01536 -0.21805 0.00482 -1.17727 0.00872 1.77780 0.01547 0.81859 0.01710 -0.95921 0.00892
2460492.5849190 0.78689 0.00306 -0.52563 0.00390 -2.54697 0.01572 -0.72228 0.00429 -1.72049 0.00854 0.58010 0.00589 -1.44124 0.01633 0.38346 0.00615 -0.61475 0.00961 -1.96570 0.00334 -3.98704 0.01559 -2.16234 0.00379 -3.16055 0.00829 -2.02134 0.01589 -0.19665 0.00486 -1.19486 0.00884 1.82469 0.01599 0.82648 0.01761 -0.99821 0.00902
2460492.5863657 0.80350 0.00311 -0.52044 0.00397 -2.49918 0.01594 -0.72145 0.00435 -1.69619 0.00867 0.57486 0.00601 -1.40389 0.01657 0.37384 0.00627 -0.60090 0.00978 -1.97771 0.00340 -3.95645 0.01581 -2.17872 0.00384 -3.15346 0.00842 -1.97874 0.01611 -0.20102 0.00494 -1.17576 0.00898 1.77773 0.01621 0.80298 0.01786 -0.97474 0.00915
2460492.5878125 0.81865 0.00315 -0.49939 0.00403 -2.49123 0.01621 -0.69747 0.00440 -1.66981 0.00882 0.56694 0.00597 -1.42490 0.01680 0.36885 0.00623 -0.60349 0.00986 -1.97048 0.00343 -3.96232 0.01607 -2.16856 0.00386 -3.14090 0.00856 -1.99184 0.01638 -0.19808 0.00497 -1.17043 0.00912 1.79376 0.01647 0.82141 0.01816 -0.97235 0.00929
2460492.5892708 0.82043 0.00322 -0.49095 0.00407 -2.49085 0.01617 -0.69192 0.00434 -1.67253 0.00906 0.57880 0.00620 -1.42110 0.01683 0.37783 0.00638 -0.60278 0.01020 -1.96433 0.00346 -3.96422 0.01603 -2.16529 0.00377 -3.14590 0.00881 -1.99990 0.01634 -0.20097 0.00493 -1.18158 0.00936 1.79893 0.01641 0.81832 0.01823 -0.98061 0.00948
2460492.5907176 0.82594 0.00324 -0.49241 0.00422 -2.50185 0.01680 -0.68976 0.00452 -1.67222 0.00879 0.57655 0.00629 -1.43290 0.01743 0.37919 0.00650 -0.60327 0.00995 -1.97175 0.00362 -3.98119 0.01666 -2.16910 0.00397 -3.15156 0.00852 -2.00944 0.01699 -0.19735 0.00519 -1.17981 0.00915 1.81209 0.01707 0.82963 0.01866 -0.98246 0.00929
2460492.5921644 0.84511 0.00324 -0.47454 0.00417 -2.47355 0.01689 -0.67397 0.00457 -1.65570 0.00920 0.57931 0.00620 -1.41969 0.01750 0.37989 0.00647 -0.60185 0.01028 -1.97344 0.00355 -3.97244 0.01675 -2.17287 0.00401 -3.15460 0.00894 -1.99900 0.01706 -0.19943 0.00517 -1.18116 0.00952 1.79958 0.01717 0.81784 0.01893 -0.98173 0.00970
2460492.5936111 0.84694 0.00323 -0.47112 0.00422 -2.46126 0.01654 -0.67715 0.00454 -1.64834 0.00912 0.56353 0.00617 -1.42662 0.01714 0.35750 0.00639 -0.61369 0.01017 -1.97018 0.00360 -3.96032 0.01639 -2.17621 0.00398 -3.14740 0.00885 -1.99014 0.01673 -0.20603 0.00518 -1.17722 0.00945 1.78411 0.01681 0.81292 0.01858 -0.97119 0.00960
2460492.5957986 0.85538 0.00331 -0.45958 0.00419 -2.46912 0.01696 -0.66630 0.00465 -1.65353 0.00904 0.57202 0.00622 -1.43752 0.01757 0.36530 0.00654 -0.62193 0.01014 -1.96760 0.00353 -3.97713 0.01680 -2.17431 0.00406 -3.16154 0.00875 -2.00954 0.01711 -0.20672 0.00520 -1.19395 0.00933 1.80282 0.01723 0.81559 0.01889 -0.98723 0.00955
2460492.5972454 0.85518 0.00330 -0.46983 0.00424 -2.46726 0.01682 -0.66426 0.00458 -1.65304 0.00929 0.55992 0.00630 -1.43751 0.01746 0.36549 0.00653 -0.62329 0.01039 -1.97745 0.00360 -3.97489 0.01667 -2.17189 0.00399 -3.16066 0.00902 -1.99743 0.01700 -0.19443 0.00519 -1.18321 0.00961 1.80300 0.01709 0.81423 0.01890 -0.98877 0.00976
2460492.5986921 0.85766 0.00332 -0.46440 0.00425 -2.44238 0.01633 -0.65494 0.00458 -1.64738 0.00933 0.57111 0.00635 -1.40687 0.01699 0.38057 0.00657 -0.61187 0.01045 -1.97529 0.00361 -3.95327 0.01617 -2.16583 0.00399 -3.15827 0.00905 -1.97798 0.01651 -0.19054 0.00519 -1.18298 0.00964 1.78744 0.01660 0.79500 0.01848 -0.99244 0.00979
2460492.6001505 0.84417 0.00336 -0.47536 0.00422 99.99999 9.99999 -0.66865 0.00455 -1.64887 0.00954 0.56712 0.00634 99.99999 9.99999 0.37383 0.00656 -0.60638 0.01065 -1.97213 0.00354 99.99999 9.99999 -2.16542 0.00393 -3.14563 0.00926 99.99999 9.99999 -0.19328 0.00510 -1.17350 0.00981 99.99999 9.99999 99.99999 9.99999 -0.98022 0.00996
2460492.6015972 0.85361 0.00329 -0.46955 0.00419 -2.45751 0.01699 -0.65247 0.00451 -1.61956 0.00913 0.56747 0.00635 -1.42049 0.01765 0.38454 0.00657 -0.58255 0.01030 -1.97615 0.00356 -3.96411 0.01685 -2.15907 0.00394 -3.12616 0.00886 -1.98796 0.01716 -0.18293 0.00513 -1.15002 0.00945 1.80503 0.01724 0.83795 0.01898 -0.96709 0.00960
2460492.6030324 0.85794 0.00334 -0.45713 0.00422 -2.48834 0.01788 -0.64358 0.00467 -1.63762 0.00938 0.56346 0.00629 -1.46776 0.01848 0.37700 0.00660 -0.61704 0.01048 -1.96689 0.00355 -3.99810 0.01773 -2.15334 0.00408 -3.14738 0.00910 -2.03121 0.01803 -0.18646 0.00521 -1.18050 0.00966 1.84475 0.01814 0.85072 0.01988 -0.99404 0.00987
2460492.6044792 0.85563 0.00340 -0.46538 0.00428 -2.44189 0.01734 -0.65295 0.00464 -1.62957 0.00913 0.57180 0.00637 -1.40470 0.01797 0.38423 0.00662 -0.59239 0.01028 -1.97421 0.00359 -3.95071 0.01718 -2.16178 0.00401 -3.13839 0.00883 -1.97650 0.01750 -0.18757 0.00519 -1.16419 0.00942 1.78893 0.01759 0.81232 0.01927 -0.97662 0.00959
2460492.6059259 0.84273 0.00335 -0.47669 0.00422 -2.46433 0.01735 -0.66932 0.00462 -1.65648 0.00969 0.56799 0.00643 -1.41965 0.01802 0.37536 0.00669 -0.61179 0.01083 -1.97210 0.00358 -3.95974 0.01721 -2.16473 0.00404 -3.15189 0.00943 -1.98764 0.01752 -0.19263 0.00521 -1.17979 0.00998 1.79501 0.01762 0.80785 0.01957 -0.98716 0.01016
2460492.6073727 0.84541 0.00335 -0.48704 0.00435 -2.47987 0.01755 -0.66577 0.00470 -1.61989 0.00908 0.55667 0.00643 -1.43615 0.01818 0.37795 0.00667 -0.57617 0.01024 -1.98530 0.00371 -3.97812 0.01741 -2.16402 0.00411 -3.11814 0.00880 -1.99283 0.01774 -0.17872 0.00535 -1.13285 0.00944 1.81410 0.01783 0.85998 0.01945 -0.95412 0.00960
2460492.6088310 0.83830 0.00343 -0.49036 0.00437 -2.46701 0.01800 -0.68372 0.00477 -1.65354 0.00978 0.56196 0.00650 -1.41468 0.01863 0.36860 0.00678 -0.60121 0.01090 -1.98165 0.00368 -3.95830 0.01784 -2.17501 0.00415 -3.14483 0.00949 -1.97665 0.01816 -0.19336 0.00536 -1.16318 0.01008 1.78329 0.01826 0.81347 0.02016 -0.96982 0.01026
2460492.6102894 0.82963 0.00343 -0.49365 0.00446 -2.48103 0.01773 -0.68115 0.00481 -1.63735 0.00970 0.56669 0.00664 -1.42069 0.01840 0.37920 0.00688 -0.57700 0.01088 -1.97621 0.00382 -3.96359 0.01758 -2.16370 0.00422 -3.11990 0.00943 -1.98738 0.01793 -0.18749 0.00550 -1.14370 0.01007 1.79988 0.01802 0.84368 0.01990 -0.95620 0.01023
2460492.6117361 0.82679 0.00343 -0.49480 0.00445 -2.52253 0.01870 -0.69267 0.00481 -1.64895 0.00979 0.54975 0.00658 -1.47798 0.01932 0.35188 0.00683 -0.60439 0.01092 -1.97271 0.00379 -4.00044 0.01855 -2.17058 0.00420 -3.12686 0.00951 -2.02773 0.01888 -0.19787 0.00547 -1.15414 0.01013 1.82986 0.01897 0.87358 0.02079 -0.95627 0.01029
2460492.6131713 0.82791 0.00345 -0.50522 0.00442 -2.49663 0.01844 -0.70636 0.00489 -1.67798 0.00986 0.53805 0.00661 -1.45336 0.01908 0.33691 0.00693 -0.63471 0.01102 -1.98423 0.00374 -3.97564 0.01829 -2.18537 0.00429 -3.15698 0.00958 -1.99141 0.01861 -0.20114 0.00551 -1.17275 0.01018 1.79027 0.01873 0.81866 0.02060 -0.97162 0.01040
2460492.6146296 0.80180 0.00345 -0.52084 0.00450 -2.52291 0.01899 -0.72254 0.00484 -1.71306 0.01026 0.57693 0.00673 -1.42514 0.01964 0.37523 0.00696 -0.61530 0.01141 -1.97648 0.00387 -3.97855 0.01885 -2.17818 0.00425 -3.16871 0.01000 -2.00207 0.01919 -0.20170 0.00556 -1.19222 0.01062 1.80037 0.01927 0.80985 0.02129 -0.99053 0.01076
2460492.6168171 0.78993 0.00346 -0.53410 0.00446 -2.55470 0.01898 -0.72798 0.00486 -1.71485 0.01061 0.56030 0.00682 -1.46030 0.01967 0.36642 0.00709 -0.62045 0.01180 -1.97641 0.00384 -3.99701 0.01884 -2.17029 0.00430 -3.15716 0.01037 -2.02060 0.01917 -0.19388 0.00558 -1.18075 0.01096 1.82672 0.01927 0.83985 0.02146 -0.98687 0.01113
2460492.6182639 0.76428 0.00338 -0.56348 0.00444 99.99999 9.99999 -0.74674 0.00475 -1.72068 0.01049 0.55826 0.00677 99.99999 9.99999 0.37499 0.00697 -0.59894 0.01167 -1.98030 0.00386 99.99999 9.99999 -2.16356 0.00422 -3.13750 0.01026 99.99999 9.99999 -0.18326 0.00553 -1.15720 0.01087 99.99999 9.99999 99.99999 9.99999 -0.97394 0.01100
2460492.6197222 0.74929 0.00347 -0.57038 0.00451 99.99999 9.99999 -0.77300 0.00490 -1.74139 0.01029 0.55733 0.00686 99.99999 9.99999 0.35471 0.00712 -0.61368 0.01151 -1.97133 0.00390 99.99999 9.99999 -2.17395 0.00434 -3.14235 0.01003 99.99999 9.99999 -0.20262 0.00564 -1.17101 0.01066 99.99999 9.99999 99.99999 9.99999 -0.96839 0.01083
2460492.6211690 0.73590 0.00341 -0.59314 0.00449 99.99999 9.99999 -0.77775 0.00491 -1.75129 0.01054 0.55089 0.00686 99.99999 9.99999 0.36627 0.00714 -0.60727 0.01174 -1.98099 0.00393 99.99999 9.99999 -2.16560 0.00439 -3.13914 0.01031 99.99999 9.99999 -0.18462 0.00570 -1.15815 0.01093 99.99999 9.99999 99.99999 9.99999 -0.97354 0.01111
2460492.6226157 0.72558 0.00349 -0.60452 0.00458 99.99999 9.99999 -0.79566 0.00500 -1.77545 0.01097 0.54394 0.00711 99.99999 9.99999 0.35280 0.00739 -0.62698 0.01224 -1.98148 0.00401 99.99999 9.99999 -2.17262 0.00449 -3.15240 0.01075 99.99999 9.99999 -0.19114 0.00583 -1.17092 0.01137 99.99999 9.99999 99.99999 9.99999 -0.97979 0.01155
2460492.6240625 0.72688 0.00349 -0.61284 0.00452 99.99999 9.99999 -0.79795 0.00498 -1.77476 0.01088 0.56743 0.00703 99.99999 9.99999 0.38232 0.00734 -0.59449 0.01214 -1.99428 0.00393 99.99999 9.99999 -2.17938 0.00446 -3.15619 0.01065 99.99999 9.99999 -0.18510 0.00576 -1.16191 0.01126 99.99999 9.99999 99.99999 9.99999 -0.97681 0.01145
2460492.6255093 0.72426 0.00355 -0.59967 0.00468 99.99999 9.99999 -0.78895 0.00505 -1.78412 0.01117 0.56513 0.00721 99.99999 9.99999 0.37586 0.00746 -0.61931 0.01245 -1.97677 0.00408 99.99999 9.99999 -2.16605 0.00451 -3.16122 0.01093 99.99999 9.99999 -0.18928 0.00590 -1.18444 0.01157 99.99999 9.99999 99.99999 9.99999 -0.99517 0.01173
2460492.6269560 0.72609 0.00351 -0.58338 0.00464 99.99999 9.99999 -0.77875 0.00501 -1.76951 0.01109 0.56967 0.00711 99.99999 9.99999 0.37429 0.00736 -0.61647 0.01233 -1.96135 0.00407 99.99999 9.99999 -2.15672 0.00449 -3.14748 0.01086 99.99999 9.99999 -0.19537 0.00586 -1.18614 0.01150 99.99999 9.99999 99.99999 9.99999 -0.99076 0.01165
2460492.6284144 0.73454 0.00356 -0.59734 0.00474 99.99999 9.99999 -0.78018 0.00513 -1.77549 0.01109 0.55702 0.00722 99.99999 9.99999 0.37418 0.00748 -0.62114 0.01235 -1.98470 0.00415 99.99999 9.99999 -2.16754 0.00459 -3.16285 0.01085 99.99999 9.99999 -0.18284 0.00600 -1.17816 0.01152 99.99999 9.99999 99.99999 9.99999 -0.99531 0.01169
2460492.6298727 0.75755 0.00359 -0.57000 0.00471 99.99999 9.99999 -0.75897 0.00518 -1.73331 0.01091 0.56692 0.00723 99.99999 9.99999 0.37795 0.00754 -0.59639 0.01221 -1.98091 0.00410 99.99999 9.99999 -2.16987 0.00463 -3.14422 0.01066 99.99999 9.99999 -0.18897 0.00600 -1.16331 0.01132 99.99999 9.99999 99.99999 9.99999 -0.97434 0.01152
2460492.6313194 0.75833 0.00362 -0.57184 0.00492 99.99999 9.99999 -0.76314 0.00512 -1.73641 0.01115 0.55033 0.00737 99.99999 9.99999 0.35904 0.00751 -0.61424 0.01243 -1.98218 0.00431 99.99999 9.99999 -2.17348 0.00455 -3.14675 0.01090 99.99999 9.99999 -0.19130 0.00608 -1.16457 0.01162 99.99999 9.99999 99.99999 9.99999 -0.97327 0.01171
2460492.6327662 0.78431 0.00376 -0.55162 0.00488 99.99999 9.99999 -0.73186 0.00521 -1.71627 0.01099 0.55517 0.00756 99.99999 9.99999 0.37493 0.00778 -0.60948 0.01241 -1.98896 0.00422 99.99999 9.99999 -2.16920 0.00460 -3.15361 0.01071 99.99999 9.99999 -0.18024 0.00605 -1.16465 0.01141 99.99999 9.99999 99.99999 9.99999 -0.98441 0.01156
2460492.6342130 0.78107 0.00374 -0.54182 0.00495 99.99999 9.99999 -0.72933 0.00535 -1.71313 0.01125 0.56215 0.00743 99.99999 9.99999 0.37464 0.00771 -0.60916 0.01255 -1.97534 0.00427 99.99999 9.99999 -2.16284 0.00474 -3.14664 0.01097 99.99999 9.99999 -0.18751 0.00619 -1.17131 0.01167 99.99999 9.99999 99.99999 9.99999 -0.98380 0.01185
2460492.6356713 0.80789 0.00380 -0.51030 0.00490 99.99999 9.99999 -0.70366 0.00531 -1.68144 0.01126 0.56279 0.00757 99.99999 9.99999 0.36943 0.00784 -0.60835 0.01265 -1.97025 0.00422 99.99999 9.99999 -2.16360 0.00469 -3.14138 0.01098 99.99999 9.99999 -0.19335 0.00611 -1.17113 0.01166 99.99999 9.99999 99.99999 9.99999 -0.97778 0.01184
2460492.6378588 0.81296 0.00385 -0.51518 0.00512 99.99999 9.99999 -0.70141 0.00551 -1.67556 0.01186 0.54996 0.00761 99.99999 9.99999 0.36372 0.00788 -0.61043 0.01313 -1.97991 0.00442 99.99999 9.99999 -2.16614 0.00487 -3.14029 0.01158 99.99999 9.99999 -0.18624 0.00638 -1.16039 0.01229 99.99999 9.99999 99.99999 9.99999 -0.97415 0.01246
2460492.6393171 0.82848 0.00390 -0.49942 0.00514 99.99999 9.99999 -0.69213 0.00560 -1.68626 0.01235 0.56464 0.00775 99.99999 9.99999 0.37193 0.00806 -0.62220 0.01365 -1.98107 0.00443 99.99999 9.99999 -2.17378 0.00496 -3.16791 0.01208 99.99999 9.99999 -0.19271 0.00646 -1.18685 0.01277 99.99999 9.99999 99.99999 9.99999 -0.99413 0.01296
2460492.6407523 0.83692 0.00409 -0.49519 0.00527 99.99999 9.99999 -0.68716 0.00578 -1.67983 0.01271 0.55056 0.00806 99.99999 9.99999 0.35859 0.00840 -0.63408 0.01410 -1.98433 0.00448 99.99999 9.99999 -2.17630 0.00508 -3.16897 0.01241 99.99999 9.99999 -0.19197 0.00658 -1.18464 0.01310 99.99999 9.99999 99.99999 9.99999 -0.99267 0.01331
2460492.6421991 0.84436 0.00406 -0.48900 0.00528 99.99999 9.99999 -0.66837 0.00577 -1.63756 0.01211 0.56525 0.00813 99.99999 9.99999 0.38588 0.00846 -0.58331 0.01360 -1.98711 0.00454 99.99999 9.99999 -2.16648 0.00510 -3.13567 0.01181 99.99999 9.99999 -0.17937 0.00664 -1.14856 0.01255 99.99999 9.99999 99.99999 9.99999 -0.96920 0.01277
2460492.6436458 0.85274 0.00412 -0.47273 0.00526 99.99999 9.99999 -0.66761 0.00570 -1.63872 0.01194 0.56190 0.00806 99.99999 9.99999 0.36702 0.00836 -0.60409 0.01341 -1.97814 0.00445 99.99999 9.99999 -2.17302 0.00497 -3.14413 0.01161 99.99999 9.99999 -0.19488 0.00647 -1.16599 0.01233 99.99999 9.99999 99.99999 9.99999 -0.97111 0.01253
2460492.6451042 0.84979 0.00414 -0.47135 0.00545 99.99999 9.99999 -0.66143 0.00583 -1.63101 0.01229 0.55587 0.00817 99.99999 9.99999 0.36579 0.00843 -0.60379 0.01372 -1.97281 0.00466 99.99999 9.99999 -2.16289 0.00511 -3.13247 0.01196 99.99999 9.99999 -0.19008 0.00672 -1.15966 0.01274 99.99999 9.99999 99.99999 9.99999 -0.96958 0.01291
2460492.6465509 0.85429 0.00424 -0.46103 0.00547 -2.47516 0.02457 -0.66483 0.00591 -1.63529 0.01263 0.58576 0.00840 -1.42837 0.02538 0.38196 0.00870 -0.58850 0.01415 -1.96930 0.00466 -3.98344 0.02440 -2.17311 0.00518 -3.14356 0.01231 -2.01414 0.02479 -0.20381 0.00677 -1.17426 0.01306 1.81033 0.02489 0.83988 0.02728 -0.97045 0.01325
2460492.6479977 0.86073 0.00427 -0.46430 0.00556 99.99999 9.99999 -0.64957 0.00598 -1.64551 0.01319 0.55037 0.00839 99.99999 9.99999 0.36510 0.00867 -0.63084 0.01460 -1.97655 0.00474 99.99999 9.99999 -2.16182 0.00522 -3.15775 0.01286 99.99999 9.99999 -0.18527 0.00685 -1.18120 0.01360 99.99999 9.99999 99.99999 9.99999 -0.99593 0.01378
2460492.6494444 0.85923 0.00439 -0.47366 0.00562 99.99999 9.99999 -0.65765 0.00625 -1.62042 0.01327 0.53586 0.00868 99.99999 9.99999 0.35188 0.00909 -0.61089 0.01482 -1.98375 0.00478 99.99999 9.99999 -2.16774 0.00550 -3.13051 0.01293 99.99999 9.99999 -0.18399 0.00709 -1.14676 0.01368 99.99999 9.99999 99.99999 9.99999 -0.96277 0.01395
2460492.6509028 0.84663 0.00459 -0.47568 0.00598 99.99999 9.99999 -0.66359 0.00635 -1.67020 0.01416 0.55978 0.00915 99.99999 9.99999 0.37187 0.00940 -0.63474 0.01576 -1.97447 0.00510 99.99999 9.99999 -2.16238 0.00553 -3.16899 0.01381 99.99999 9.99999 -0.18791 0.00733 -1.19452 0.01463 99.99999 9.99999 99.99999 9.99999 -1.00661 0.01478
2460492.6523495 0.84759 0.00469 -0.46750 0.00595 99.99999 9.99999 -0.65883 0.00659 -1.64861 0.01401 0.57712 0.00919 99.99999 9.99999 0.38579 0.00961 -0.60399 0.01566 -1.96822 0.00501 99.99999 9.99999 -2.15956 0.00575 -3.14934 0.01364 99.99999 9.99999 -0.19133 0.00743 -1.18111 0.01443 99.99999 9.99999 99.99999 9.99999 -0.98978 0.01470
2460492.6537963 0.87101 0.00478 -0.45284 0.00623 99.99999 9.99999 -0.64857 0.00687 -1.63521 0.01502 0.56136 0.00950 99.99999 9.99999 0.36563 0.00993 -0.62101 0.01664 -1.97631 0.00530 99.99999 9.99999 -2.17205 0.00604 -3.15869 0.01466 99.99999 9.99999 -0.19573 0.00784 -1.18237 0.01549 99.99999 9.99999 99.99999 9.99999 -0.98664 0.01576
2460492.6552546 0.86061 0.00521 -0.45917 0.00665 99.99999 9.99999 -0.65497 0.00737 -1.62813 0.01605 0.53227 0.01039 99.99999 9.99999 0.33647 0.01087 -0.63669 0.01792 -1.96898 0.00562 99.99999 9.99999 -2.16479 0.00646 -3.13795 0.01565 99.99999 9.99999 -0.19581 0.00836 -1.16897 0.01653 99.99999 9.99999 99.99999 9.99999 -0.97316 0.01683
2460492.6567014 0.85649 0.00536 -0.48006 0.00702 99.99999 9.99999 -0.65598 0.00763 -1.64208 0.01729 0.54336 0.01106 99.99999 9.99999 0.36744 0.01146 -0.61866 0.01929 -1.98851 0.00605 99.99999 9.99999 -2.16443 0.00674 -3.15053 0.01691 99.99999 9.99999 -0.17592 0.00886 -1.16202 0.01786 99.99999 9.99999 99.99999 9.99999 -0.98610 0.01811
2460492.6588773 0.85764 0.00587 -0.48907 0.00790 99.99999 9.99999 -0.65090 0.00852 -1.63091 0.01807 0.53777 0.01209 99.99999 9.99999 0.37595 0.01250 -0.60407 0.02026 -1.99910 0.00681 99.99999 9.99999 -2.16093 0.00752 -3.14094 0.01762 99.99999 9.99999 -0.16183 0.00995 -1.14184 0.01879 99.99999 9.99999 99.99999 9.99999 -0.98001 0.01906
2460492.6603241 0.85380 0.00683 -0.49088 0.00894 99.99999 9.99999 -0.65382 0.00950 -1.67814 0.02240 0.56420 0.01442 99.99999 9.99999 0.40127 0.01478 -0.62306 0.02510 -1.99940 0.00772 99.99999 9.99999 -2.16234 0.00837 -3.18666 0.02194 99.99999 9.99999 -0.16293 0.01117 -1.18726 0.02316 99.99999 9.99999 99.99999 9.99999 -1.02433 0.02338
2460492.6617708 0.86536 0.00782 -0.48029 0.00993 99.99999 9.99999 -0.64112 0.01113 -1.65398 0.02591 0.55727 0.01609 99.99999 9.99999 0.39644 0.01686 -0.61642 0.02884 -1.99981 0.00840 99.99999 9.99999 -2.16064 0.00979 -3.17350 0.02537 99.99999 9.99999 -0.16084 0.01267 -1.17369 0.02661 99.99999 9.99999 99.99999 9.99999 -1.01286 0.02708
2460492.6632176 0.86671 0.00964 -0.46388 0.01265 99.99999 9.99999 -0.61441 0.01369 -1.62760 0.03117 0.57091 0.02035 99.99999 9.99999 0.42037 0.02101 -0.59281 0.03501 -1.98461 0.01085 99.99999 9.99999 -2.13514 0.01205 -3.14833 0.03048 99.99999 9.99999 -0.15054 0.01597 -1.16372 0.03224 99.99999 9.99999 99.99999 9.99999 -1.01318 0.03266
2460492.6646644 0.85408 0.01113 -0.52272 0.01534 99.99999 9.99999 -0.64953 0.01627 99.99999 9.99999 0.48348 0.02335 99.99999 9.99999 0.35667 0.02398 99.99999 9.99999 -2.02683 0.01328 99.99999 9.99999 -2.15364 0.01434 99.99999 9.99999 99.99999 9.99999 -0.12681 0.01925 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2460492.6661111 0.86342 0.01351 -0.52739 0.01838 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.48113 0.02839 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 -2.04199 0.01582 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
