JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 K1-K2 s8
Aperture: 6, Filter: L, JD: geocentric


2460492.5356366 0.79701 0.00294 -0.53505 0.00384 -1.71164 0.00823 0.55120 0.00559 -0.62539 0.00918 -1.98434 0.00329 -3.16093 0.00799 -1.17660 0.00853
2460492.5370949 0.81296 0.00297 -0.51839 0.00387 -1.68175 0.00794 0.55300 0.00560 -0.61036 0.00891 -1.98373 0.00331 -3.14709 0.00768 -1.16336 0.00826
2460492.5385417 0.82572 0.00297 -0.49474 0.00381 -1.65647 0.00774 0.57854 0.00561 -0.58318 0.00877 -1.97425 0.00324 -3.13597 0.00748 -1.16172 0.00804
2460492.5399884 0.82835 0.00297 -0.49560 0.00377 -1.67715 0.00790 0.56820 0.00554 -0.61336 0.00889 -1.97708 0.00319 -3.15863 0.00764 -1.18155 0.00817
2460492.5414352 0.82352 0.00294 -0.49308 0.00374 -1.65611 0.00785 0.57407 0.00552 -0.58896 0.00884 -1.96960 0.00318 -3.13263 0.00760 -1.16303 0.00813
2460492.5428935 0.83882 0.00293 -0.48026 0.00373 -1.64510 0.00774 0.56917 0.00545 -0.59568 0.00870 -1.97183 0.00315 -3.13667 0.00748 -1.16484 0.00801
2460492.5443403 0.84452 0.00291 -0.47527 0.00369 -1.64041 0.00773 0.56891 0.00539 -0.59623 0.00867 -1.97260 0.00311 -3.13774 0.00747 -1.16514 0.00798
2460492.5457870 0.84786 0.00290 -0.48604 0.00374 -1.65959 0.00799 0.55599 0.00543 -0.61757 0.00890 -1.98681 0.00319 -3.16037 0.00774 -1.17355 0.00827
2460492.5472222 0.85762 0.00290 -0.46146 0.00372 -1.66115 0.00820 0.56643 0.00532 -0.63326 0.00904 -1.97158 0.00315 -3.17126 0.00795 -1.19969 0.00845
2460492.5486806 0.85514 0.00291 -0.46787 0.00370 -1.64202 0.00763 0.56319 0.00539 -0.61096 0.00858 -1.97558 0.00312 -3.14972 0.00737 -1.17415 0.00789
2460492.5501273 0.85535 0.00286 -0.46868 0.00366 -1.65166 0.00792 0.56684 0.00532 -0.61614 0.00881 -1.97704 0.00310 -3.16001 0.00767 -1.18298 0.00818
2460492.5515741 0.85651 0.00285 -0.46975 0.00363 -1.62997 0.00766 0.56405 0.00522 -0.59616 0.00853 -1.97922 0.00305 -3.13944 0.00740 -1.16021 0.00790
2460492.5537616 0.85921 0.00283 -0.45259 0.00358 -1.64217 0.00759 0.58623 0.00514 -0.60335 0.00844 -1.96550 0.00300 -3.15508 0.00733 -1.18958 0.00782
2460492.5552083 0.85797 0.00285 -0.46062 0.00362 -1.64712 0.00742 0.56258 0.00527 -0.62393 0.00836 -1.97066 0.00306 -3.15717 0.00717 -1.18651 0.00769
2460492.5566667 0.84894 0.00279 -0.48548 0.00358 -1.64853 0.00751 0.55586 0.00511 -0.60719 0.00835 -1.98737 0.00303 -3.15042 0.00726 -1.16305 0.00776
2460492.5581134 0.85146 0.00283 -0.47887 0.00360 -1.64021 0.00721 0.56289 0.00526 -0.59845 0.00817 -1.98357 0.00304 -3.14491 0.00695 -1.16134 0.00748
2460492.5595602 0.83663 0.00285 -0.48732 0.00360 -1.64451 0.00739 0.56802 0.00533 -0.58917 0.00838 -1.97706 0.00305 -3.13425 0.00714 -1.15719 0.00766
2460492.5610069 0.82127 0.00276 -0.49727 0.00358 -1.66589 0.00744 0.57016 0.00516 -0.59845 0.00832 -1.97135 0.00305 -3.13996 0.00720 -1.16862 0.00772
2460492.5624537 0.81261 0.00280 -0.51225 0.00364 -1.66778 0.00747 0.55987 0.00525 -0.59567 0.00837 -1.97727 0.00311 -3.13281 0.00723 -1.15554 0.00776
2460492.5639005 0.78548 0.00278 -0.53271 0.00359 -1.70550 0.00739 0.56309 0.00523 -0.60970 0.00831 -1.97028 0.00307 -3.14306 0.00715 -1.17278 0.00767
2460492.5653472 0.76665 0.00282 -0.55899 0.00356 -1.74113 0.00780 0.57161 0.00536 -0.61053 0.00876 -1.97926 0.00304 -3.16140 0.00757 -1.18214 0.00806
