JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 K1-K2 s11 K1-K3 s12 K2-K3 s13
Aperture: 5, Filter: L, JD: geocentric
2460492.3935301 -1.49336 0.00617 -0.47465 0.00388 -1.65662 0.00788 -0.66496 0.00417 0.57500 0.00552 -0.60697 0.00881 0.38469 0.00573 1.78181 0.01209 0.59984 0.01390 1.59149 0.01218 -1.18197 0.00817 -0.19031 0.00469 0.99166 0.00831
2460492.4029861 -1.49443 0.00594 -0.49782 0.00375 -1.67695 0.00750 -0.70308 0.00402 0.55092 0.00534 -0.62822 0.00840 0.34566 0.00553 1.76575 0.01157 0.58662 0.01327 1.56049 0.01167 -1.17913 0.00777 -0.20526 0.00452 0.97387 0.00791
2460492.4116667 -1.56257 0.00601 -0.56131 0.00382 -1.74824 0.00737 -0.76175 0.00415 0.55882 0.00548 -0.62812 0.00835 0.35838 0.00572 1.76052 0.01177 0.57358 0.01335 1.56008 0.01188 -1.18694 0.00770 -0.20044 0.00472 0.98650 0.00787
2460492.4341319 -1.50920 0.00628 -0.50473 0.00396 -1.66793 0.00789 -0.69711 0.00426 0.55921 0.00565 -0.60399 0.00886 0.36682 0.00586 1.77229 0.01233 0.60909 0.01409 1.57990 0.01243 -1.16320 0.00821 -0.19239 0.00483 0.97081 0.00836
2460492.4486227 -1.48951 0.00616 -0.48028 0.00388 -1.65699 0.00780 -0.68101 0.00422 0.56860 0.00557 -0.60811 0.00877 0.36787 0.00582 1.76302 0.01190 0.58631 0.01369 1.56229 0.01201 -1.17671 0.00806 -0.20073 0.00469 0.97598 0.00824
2460492.4544097 -1.51479 0.00612 -0.49563 0.00383 -1.66533 0.00772 -0.69959 0.00417 0.57578 0.00543 -0.59392 0.00863 0.37182 0.00568 1.78123 0.01201 0.61153 0.01376 1.57727 0.01212 -1.16970 0.00800 -0.20396 0.00467 0.96574 0.00817
2460492.4631134 -1.54953 0.00638 -0.53413 0.00394 -1.70965 0.00796 -0.73972 0.00429 0.57183 0.00565 -0.60369 0.00893 0.36624 0.00590 1.77808 0.01258 0.60256 0.01436 1.57249 0.01270 -1.17552 0.00826 -0.20559 0.00482 0.96993 0.00844
2460492.4769097 -1.57338 0.00544 -0.55735 0.00346 -1.72360 0.00681 -0.75462 0.00374 0.56821 0.00498 -0.59805 0.00769 0.37093 0.00518 1.79172 0.01057 0.62547 0.01209 1.59444 0.01067 -1.16625 0.00708 -0.19727 0.00422 0.96898 0.00722
2460492.4921412 -1.50567 0.00509 -0.50299 0.00336 -1.65647 0.00635 -0.69339 0.00361 0.56058 0.00472 -0.59290 0.00717 0.37017 0.00490 1.76092 0.00974 0.60744 0.01113 1.57051 0.00982 -1.15348 0.00661 -0.19040 0.00404 0.96307 0.00674
2460492.4950463 -1.50889 0.00515 -0.50211 0.00338 -1.66920 0.00643 -0.68648 0.00362 0.56466 0.00473 -0.60243 0.00723 0.38028 0.00490 1.76506 0.00995 0.59797 0.01136 1.58068 0.01003 -1.16709 0.00670 -0.18438 0.00407 0.98272 0.00682
2460492.4964931 -1.49547 0.00509 -0.48405 0.00335 -1.66875 0.00637 -0.67651 0.00361 0.56968 0.00469 -0.61502 0.00717 0.37722 0.00488 1.76853 0.00973 0.58383 0.01114 1.57607 0.00983 -1.18470 0.00661 -0.19246 0.00402 0.99224 0.00675
2460492.5008449 -1.48535 0.00504 -0.48702 0.00339 -1.65348 0.00648 -0.68851 0.00365 0.55911 0.00471 -0.60735 0.00726 0.35762 0.00490 1.74785 0.00959 0.58139 0.01106 1.54636 0.00968 -1.16646 0.00673 -0.20149 0.00408 0.96497 0.00686
2460492.5189699 -1.60894 0.00508 -0.60490 0.00331 -1.77081 0.00658 -0.79092 0.00357 0.56556 0.00478 -0.60035 0.00743 0.37954 0.00496 1.75139 0.00977 0.58548 0.01130 1.56537 0.00986 -1.16591 0.00686 -0.18602 0.00406 0.97989 0.00699
2460492.5370949 -1.51761 0.00532 -0.51903 0.00347 -1.68583 0.00662 -0.69594 0.00370 0.55591 0.00487 -0.61089 0.00745 0.37900 0.00504 1.75852 0.01030 0.59172 0.01174 1.58160 0.01038 -1.16680 0.00690 -0.17691 0.00418 0.98989 0.00702
2460492.5428935 -1.49163 0.00508 -0.48070 0.00336 -1.64242 0.00643 -0.67810 0.00366 0.56766 0.00474 -0.59405 0.00724 0.37026 0.00495 1.77267 0.00966 0.61095 0.01111 1.57526 0.00977 -1.16172 0.00667 -0.19740 0.00406 0.96431 0.00682
2460492.5725926 -1.63949 0.00511 -0.63534 0.00329 -1.79006 0.00644 -0.82214 0.00352 0.56220 0.00478 -0.59252 0.00732 0.37540 0.00494 1.76191 0.00990 0.60719 0.01134 1.57511 0.00998 -1.15472 0.00674 -0.18680 0.00404 0.96792 0.00685
2460492.5805787 -1.56832 0.00531 -0.56304 0.00343 -1.73956 0.00696 -0.75953 0.00372 0.56844 0.00499 -0.60808 0.00785 0.37196 0.00519 1.74774 0.01019 0.57122 0.01185 1.55125 0.01029 -1.17652 0.00723 -0.19649 0.00421 0.98004 0.00738
2460492.5892708 -1.51304 0.00588 -0.48900 0.00363 -1.67031 0.00748 -0.69271 0.00388 0.58240 0.00533 -0.59890 0.00843 0.37869 0.00550 1.78085 0.01139 0.59955 0.01313 1.57714 0.01147 -1.18130 0.00773 -0.20371 0.00436 0.97760 0.00785
2460492.6030324 -1.46532 0.00596 -0.46025 0.00372 -1.63578 0.00763 -0.64546 0.00407 0.56016 0.00534 -0.61536 0.00854 0.37495 0.00559 1.77179 0.01157 0.59626 0.01336 1.58658 0.01169 -1.17553 0.00788 -0.18521 0.00452 0.99032 0.00805
2460492.6073727 -1.48375 0.00603 -0.48917 0.00382 -1.61850 0.00743 -0.66875 0.00410 0.55376 0.00546 -0.57557 0.00839 0.37419 0.00566 1.74893 0.01178 0.61959 0.01339 1.56935 0.01187 -1.12933 0.00774 -0.17958 0.00463 0.94976 0.00788
2460492.6102894 -1.49343 0.00613 -0.49315 0.00390 -1.63379 0.00788 -0.68547 0.00419 0.56494 0.00562 -0.57570 0.00886 0.37263 0.00582 1.73831 0.01191 0.59767 0.01374 1.54600 0.01201 -1.14064 0.00819 -0.19231 0.00475 0.94832 0.00833
2460492.6117361 -1.49575 0.00626 -0.49390 0.00388 -1.65836 0.00800 -0.69695 0.00419 0.55563 0.00557 -0.60884 0.00894 0.35258 0.00579 1.77263 0.01231 0.60816 0.01416 1.56957 0.01241 -1.16447 0.00829 -0.20305 0.00472 0.96141 0.00843
2460492.6436458 -1.47483 0.00762 -0.47260 0.00451 -1.63836 0.00962 -0.66773 0.00487 0.55868 0.00668 -0.60708 0.01081 0.36355 0.00693 1.76485 0.01508 0.59909 0.01731 1.56972 0.01519 -1.16576 0.00995 -0.19513 0.00549 0.97063 0.01011
2460492.6479977 -1.45822 0.00810 -0.46345 0.00475 -1.62912 0.01046 -0.64773 0.00509 0.55397 0.00697 -0.61170 0.01164 0.36969 0.00720 1.74907 0.01624 0.58339 0.01872 1.56479 0.01634 -1.16567 0.01081 -0.18428 0.00578 0.98139 0.01096
2460492.3848264 -1.50592 0.00661 -0.48993 0.00390 -1.65289 0.00835 -0.69508 0.00431 0.57611 0.00568 -0.58684 0.00932 0.37096 0.00597 1.76751 0.01322 0.60456 0.01514 1.56236 0.01335 -1.16295 0.00864 -0.20515 0.00484 0.95780 0.00883
2460492.3949769 -1.48814 0.00598 -0.47744 0.00378 -1.65578 0.00780 -0.67345 0.00402 0.56299 0.00540 -0.61536 0.00870 0.36697 0.00557 1.78604 0.01167 0.60769 0.01352 1.59002 0.01175 -1.17835 0.00808 -0.19602 0.00454 0.98233 0.00819
2460492.4174537 -1.60310 0.00599 -0.60514 0.00376 -1.76615 0.00748 -0.80934 0.00400 0.54899 0.00540 -0.61201 0.00843 0.34479 0.00557 1.77720 0.01190 0.61619 0.01354 1.57300 0.01198 -1.16101 0.00784 -0.20420 0.00463 0.95681 0.00796
2460492.4515162 -1.51875 0.00617 -0.49974 0.00388 -1.66539 0.00792 -0.69294 0.00419 0.57543 0.00555 -0.59022 0.00886 0.38223 0.00577 1.78171 0.01205 0.61606 0.01389 1.58851 0.01215 -1.16565 0.00820 -0.19320 0.00470 0.97245 0.00835
2460492.4602199 -1.53509 0.00611 -0.52738 0.00387 -1.68881 0.00790 -0.73442 0.00425 0.56730 0.00564 -0.59413 0.00890 0.36026 0.00590 1.76081 0.01180 0.59938 0.01366 1.55377 0.01192 -1.16142 0.00819 -0.20704 0.00478 0.95438 0.00838
2460492.4645486 -1.57021 0.00621 -0.55417 0.00393 -1.72371 0.00784 -0.75366 0.00430 0.57877 0.00566 -0.59077 0.00883 0.37928 0.00593 1.75976 0.01214 0.59022 0.01390 1.56027 0.01227 -1.16954 0.00817 -0.19949 0.00488 0.97005 0.00835
2460492.4798148 -1.55415 0.00542 -0.55303 0.00345 -1.70489 0.00677 -0.74756 0.00376 0.55477 0.00495 -0.59709 0.00765 0.36024 0.00517 1.77227 0.01054 0.62041 0.01204 1.57774 0.01064 -1.15186 0.00704 -0.19453 0.00424 0.95733 0.00720
